DevType,LanguageHaveWorkedWith,DatabaseHaveWorkedWith,PlatformHaveWorkedWith,WebframeHaveWorkedWith,EmbeddedHaveWorkedWith,MiscTechHaveWorkedWith,ToolsTechHaveWorkedWith,NEWCollabToolsHaveWorkedWith,OfficeStackAsyncHaveWorkedWith,OfficeStackSyncHaveWorkedWith,AISearchDevHaveWorkedWith,ConvertedCompYearly
Data engineer,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Python;SQL,DuckDB;Dynamodb;MySQL;Redis;Snowflake,Amazon Web Services (AWS);OpenStack,Htmx,NA,Apache Spark;NumPy;Pandas;Quarkus,Ansible;Docker;Homebrew;Kubernetes;Maven (build tool);Terraform,Jupyter Notebook/JupyterLab;Vim;Visual Studio Code,Confluence;Jira;Monday.com,Mattermost;Microsoft Teams;Slack,ChatGPT;Claude;GitHub Copilot;Visual Studio Intellicode,137500
Data scientist or machine learning specialist,HTML/CSS;JavaScript;Python;SQL,Elasticsearch;Microsoft SQL Server;MongoDB;PostgreSQL;Redis;SQLite,Amazon Web Services (AWS);Google Cloud;Heroku;Netlify,Flask;jQuery;Node.js,NA,Apache Spark;Hadoop;Hugging Face Transformers;Keras;mlflow;NumPy;Pandas;Scikit-Learn;TensorFlow,Docker;Maven (build tool);npm;Unity 3D,Eclipse;IPython;Jupyter Notebook/JupyterLab;Notepad++;Spyder;Visual Studio Code;VSCodium,Jira;Miro;Notion,Discord;Google Meet;Microsoft Teams;Slack;Telegram;Whatsapp;Zoom,Bing AI;ChatGPT;Google Gemini,47568
Data engineer,Python;SQL,Elasticsearch;MongoDB;PostgreSQL;Redis,Amazon Web Services (AWS),Django;FastAPI,NA,NumPy;Opencv;Pandas;TensorFlow,Docker;Pip,IPython;Notepad++;PyCharm;Visual Studio;Visual Studio Code;WebStorm,Jira;Obsidian;Trello,Slack;Telegram,ChatGPT;GitHub Copilot;Google Gemini,494
Data engineer,Scala,Cassandra,NA,NA,NA,Apache Kafka;Apache Spark,NA,IntelliJ IDEA,Confluence;GitHub Discussions;Markdown File;Stack Overflow for Teams,Cisco Webex Teams;Slack,NA,300000
Data scientist or machine learning specialist,C;HTML/CSS;Python;R,BigQuery;MariaDB;MySQL;SQLite,Amazon Web Services (AWS);Google Cloud;Microsoft Azure,Django;Flask;WordPress,Arduino,Pandas;Scikit-Learn;TensorFlow;Tidyverse;Torch/PyTorch,Docker;Google Test;Kubernetes;Maven (build tool),Android Studio;IPython;Jupyter Notebook/JupyterLab;RStudio;Visual Studio,Confluence;GitHub Discussions;Jira;Trello,Cisco Webex Teams;Discord;Google Chat;Google Meet;Microsoft Teams;Signal;Skype;Slack;Telegram;Whatsapp;Zoom,Bing AI;ChatGPT;GitHub Copilot;Google Gemini;Phind;Tabnine;Visual Studio Intellicode,7256
Data engineer,Dart;JavaScript;Python;SQL;TypeScript,Dynamodb;Elasticsearch;MariaDB;MySQL;PostgreSQL,Amazon Web Services (AWS),Node.js;Vue.js,NA,Flutter;Pandas;Scikit-Learn;TensorFlow;Torch/PyTorch,Chocolatey;Docker;npm;Pip;Vite,Jupyter Notebook/JupyterLab;Neovim;Visual Studio Code,NA,Microsoft Teams;Signal;Whatsapp,Claude,31822
Data scientist or machine learning specialist,Kotlin;Python;R;Rust;TypeScript,PostgreSQL;SQLite,Amazon Web Services (AWS),Django,NA,NumPy;Opencv;Pandas;Ruff;Scikit-Learn;TensorFlow,Make;Pip,IPython;Jupyter Notebook/JupyterLab;RStudio;Visual Studio Code,Confluence;Jira;Notion;Obsidian,Discord;Microsoft Teams;Signal;Slack;Telegram;Whatsapp;Zoom,NA,64444
Data engineer,Bash/Shell (all shells);C#;Elixir;Erlang;Haskell;HTML/CSS;JavaScript;Lisp;Perl;Python;SQL,Clickhouse;Cosmos DB;Microsoft SQL Server;SQLite,Microsoft Azure,ASP.NET;ASP.NET CORE;Express;Node.js;React;WordPress,NA,.NET (5+) ;.NET Framework (1.0 - 4.8);NumPy;Pandas;RabbitMQ;Roslyn,Chocolatey;Docker;Kubernetes;npm;NuGet;Pip,Emacs;Notepad++;Visual Studio;Visual Studio Code,Confluence;Jira;Markdown File,Microsoft Teams,ChatGPT;GitHub Copilot,72001
Data engineer,PHP;Rust;SQL,PostgreSQL;SQLite,Amazon Web Services (AWS);Hetzner,Symfony,NA,GTK,Podman,Neovim,Redmine,Microsoft Teams,ChatGPT,46185
Data engineer,C;SQL,PostgreSQL,NA,NA,NA,NA,Make,Vim,Jira;Markdown File,Google Meet;Microsoft Teams;Slack;Zoom,NA,59073
Data scientist or machine learning specialist,Java;JavaScript;Python;SQL,MySQL;Oracle,Amazon Web Services (AWS);Databricks;Microsoft Azure,FastAPI;Flask;jQuery;Node.js,GNU GCC;Meson;Ninja,Apache Spark;Hadoop;Keras;NumPy;OpenCL;Opencv;Pandas;Scikit-Learn;TensorFlow;Torch/PyTorch,APT;Docker;Make;Maven (build tool);Ninja;npm;Pacman;Terraform;Yarn,DataGrip;Eclipse;IntelliJ IDEA;Jupyter Notebook/JupyterLab;Notepad++;PyCharm;Vim;Visual Studio Code,Jira,Microsoft Teams;Telegram;Whatsapp,ChatGPT;GitHub Copilot;WolframAlpha,64444
Data scientist or machine learning specialist,C++;HTML/CSS;R;SQL,NA,NA,NA,Arduino,Tidyverse,Docker,Notepad++;RStudio;Visual Studio Code,NA,Microsoft Teams,ChatGPT;GitHub Copilot,48333
Data engineer,C#;Java;SQL,Dynamodb;Elasticsearch;MySQL;PostgreSQL,Amazon Web Services (AWS),Spring Boot,NA,.NET (5+) ;Apache Kafka;Spring Framework,Ansible;Docker;Homebrew;Make;Ninja;Pip;Terraform,IntelliJ IDEA;Visual Studio Code,Confluence;Jira,Zoom,NA,70656
"Developer, AI",C++;Python,NA,NA,NA,CMake;GNU GCC,CUDA;NumPy;Opencv;OpenGL;Scikit-Learn;TensorFlow;Torch/PyTorch,Docker;Pip,Android Studio;PyCharm;Visual Studio;Visual Studio Code,Confluence;Jira,Microsoft Teams;Slack,ChatGPT;Google Gemini;Perplexity AI,10935
Data engineer,Bash/Shell (all shells);C++;Go;Perl;Python;SQL,Clickhouse,NA,NA,CMake;GNU GCC;LLVM's Clang;MSVC,NA,APT;Docker;Make;Pip,Vim;Visual Studio Code,Wikis,Slack;Zoom;Zulip,ChatGPT;Codeium,83777
Data scientist or machine learning specialist,Python;SQL;TypeScript,MySQL,NA,NA,NA,NumPy;Scikit-Learn;Torch/PyTorch,Pip,Notepad++;Visual Studio Code,Asana,Google Meet;Skype;Slack,NA,83000
Data engineer,Python;SQL,Snowflake,Microsoft Azure,FastAPI;Flask;React,NA,Pandas,Docker;Gradle;Kubernetes;Maven (build tool);Pacman;Pip,Jupyter Notebook/JupyterLab;Notepad++;Vim;Visual Studio Code,Confluence;Jira,Microsoft Teams;Signal;Skype;Slack,ChatGPT;Google Gemini;Visual Studio Intellicode,326
Data engineer,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;Python;Rust;SQL,Cosmos DB;Databricks SQL;DuckDB;Microsoft SQL Server;PostgreSQL;SQLite,Databricks;Microsoft Azure,ASP.NET CORE;FastAPI;Node.js;Svelte;Vue.js,Cargo,.NET (5+) ;Flutter;NumPy;Pandas;Ruff;Tauri,Docker;Kubernetes;npm;NuGet;Pacman;Pip;Podman;Vite,Jupyter Notebook/JupyterLab;Neovim;Notepad++;Visual Studio Code;VSCodium,Azure Devops,Microsoft Teams,Bing AI;ChatGPT;GitHub Copilot;Google Gemini,39133
Data scientist or machine learning specialist,Bash/Shell (all shells);Clojure;Go;HTML/CSS;JavaScript;Python,NA,Amazon Web Services (AWS);Netlify,NA,NA,NumPy;OpenGL;Pandas;Scikit-Learn;Torch/PyTorch,Docker;npm;Pip;Unity 3D,Goland;Jupyter Notebook/JupyterLab;Neovim;PyCharm;Vim;Visual Studio Code,Markdown File,Microsoft Teams,ChatGPT,85925
Data scientist or machine learning specialist,Bash/Shell (all shells);HTML/CSS;Perl;PowerShell;Python;R;SQL,Microsoft Access;MySQL;SQLite,NA,Django,NA,NumPy;Tidyverse,APT;Pip,IPython;RStudio;Sublime Text;Vim;Visual Studio Code,Markdown File;Wikis,Cisco Webex Teams;Discord;Google Chat;Microsoft Teams;Signal;Slack;Whatsapp;Zoom,Codeium;Meta AI,105846
Data scientist or machine learning specialist,Python,NA,Amazon Web Services (AWS);Microsoft Azure,NA,NA,NumPy;Pandas;Scikit-Learn,NA,Visual Studio Code,Azure Devops,Microsoft Teams;Zoom,NA,105258
Data scientist or machine learning specialist,Bash/Shell (all shells);C++;Python;SQL,BigQuery;PostgreSQL;Redis;SQLite,Google Cloud,FastAPI,Rasberry Pi,Hugging Face Transformers;Keras;NumPy;Pandas;Ruff;Scikit-Learn;TensorFlow;Torch/PyTorch,Ansible;APT;Docker;Make;Pip;Terraform,IPython;Jupyter Notebook/JupyterLab;Vim;Visual Studio Code,GitHub Discussions;Markdown File;Notion,Google Meet;Slack,ChatGPT;GitHub Copilot;Perplexity AI,75184
"Developer, AI",Lua;Python,Databricks SQL;Dynamodb;Snowflake,Amazon Web Services (AWS);Databricks,NA,CMake;ZMK,Apache Kafka;Apache Spark;mlflow;NumPy;Pandas;Ruff;Scikit-Learn,Docker;Make;Pip;Terraform,Visual Studio Code,Confluence;Jira;Markdown File;Miro,Discord;Google Meet;Microsoft Teams;Slack;Whatsapp;Zoom,ChatGPT;Claude;GitHub Copilot,107406
Data scientist or machine learning specialist,Assembly;C;C++;PowerShell;Python,Snowflake;SQLite,NA,NA,CMake,NumPy;Pandas,Chocolatey;Homebrew;Make;Pip,Jupyter Notebook/JupyterLab;Neovim;Vim;Visual Studio Code,NA,Discord;Microsoft Teams;Whatsapp;Zoom,ChatGPT;Perplexity AI;Whispr AI,47134
Data scientist or machine learning specialist,Bash/Shell (all shells);C++;JavaScript;Python;SQL,Cassandra;Clickhouse;Elasticsearch;Microsoft SQL Server;MySQL;PostgreSQL;Redis;SQLite,Amazon Web Services (AWS);Managed Hosting,Django;FastAPI;jQuery,NA,Apache Kafka;CUDA;mlflow;NumPy;Opencv;Pandas;Scikit-Learn;TensorFlow;Torch/PyTorch,Docker;Gradle;Kubernetes;Maven (build tool);Pip,IPython;Jupyter Notebook/JupyterLab;Notepad++;PyCharm;Visual Studio Code,Confluence;Jira,Discord;Google Meet;Microsoft Teams;Whatsapp,ChatGPT;GitHub Copilot,66162
Data or business analyst,C;C++;HTML/CSS;JavaScript;MATLAB;PHP;PowerShell;Python;SQL,Databricks SQL;MongoDB;MySQL;PostgreSQL;SQLite,Databricks;Netlify;Vercel;VMware,Node.js,NA,JAX;NumPy;Opencv;Pandas;Scikit-Learn;TensorFlow;Torch/PyTorch,Chocolatey;Gradle;Maven (build tool);npm;Pip;Vite;Yarn,Code::Blocks;Eclipse;IntelliJ IDEA;IPython;Jupyter Notebook/JupyterLab;Notepad++;RStudio;Sublime Text;Vim;Visual Studio;Visual Studio Code,GitHub Discussions;Markdown File;Trello,Cisco Webex Teams;Discord;Google Meet;Jitsi;Matrix;Microsoft Teams;Signal;Slack;Telegram;Whatsapp;Zoom,Bing AI;ChatGPT;GitHub Copilot;Google Gemini;Meta AI;Perplexity AI,27516
"Developer, AI",C++;Dart;HTML/CSS;Python;TypeScript,Dynamodb,Amazon Web Services (AWS);Microsoft Azure,Node.js;React,CMake,Flutter;NumPy;Pandas;Scikit-Learn,Docker;Pip,Notepad++;Visual Studio;Visual Studio Code,Azure Devops,Microsoft Teams,ChatGPT,75184
Data engineer,Bash/Shell (all shells);Java;JavaScript;Python;R;Scala;SQL,BigQuery;Cassandra;Elasticsearch;IBM DB2;InfluxDB;MariaDB;Microsoft Access;Microsoft SQL Server;MongoDB;MySQL;Neo4J;Oracle;PostgreSQL;Presto;Redis;Solr;SQLite,Amazon Web Services (AWS);Google Cloud,Angular;FastAPI;Flask;React,Rasberry Pi,Apache Kafka;Apache Spark;NumPy;Pandas;Tidyverse,NA,IntelliJ IDEA,Confluence;GitHub Discussions,Google Meet;Microsoft Teams;Slack,Bing AI;ChatGPT,59073
Data or business analyst,SQL;VBA,NA,NA,NA,NA,NA,NA,Notepad++,NA,Discord;Microsoft Teams,NA,29299
Data engineer,R;SQL,Databricks SQL;Microsoft SQL Server,Databricks;Microsoft Azure,NA,NA,Tidyverse,Docker;Kubernetes,Jupyter Notebook/JupyterLab;Notepad++;PyCharm;RStudio,Azure Devops;Confluence;Jira;Markdown File,Microsoft Teams;Whatsapp,Bing AI,161109
Data scientist or machine learning specialist,Bash/Shell (all shells);Python,Cassandra;Elasticsearch,Amazon Web Services (AWS),FastAPI,NA,Hugging Face Transformers;NumPy;Opencv;Pandas;RabbitMQ;Ruff;Scikit-Learn;Torch/PyTorch,Docker;Kubernetes;Pip,Jupyter Notebook/JupyterLab;Nano;Sublime Text;Visual Studio Code,Miro,Google Meet;Microsoft Teams;Slack;Telegram;Whatsapp,ChatGPT;Google Gemini;Tabnine,80555
Data engineer,C;C#;C++;Go;Java;JavaScript;Kotlin;PowerShell;Python;Rust;Scala;SQL,Cosmos DB;Databricks SQL;Microsoft SQL Server;MongoDB;Oracle;SQLite,Amazon Web Services (AWS);Databricks;Digital Ocean;Google Cloud;Microsoft Azure,ASP.NET;ASP.NET CORE;Blazor;FastAPI,CMake;cppunit;MSVC,.NET (5+) ;.NET MAUI;Apache Spark;Pandas;Roslyn;Xamarin,Docker;Kubernetes;MSBuild;npm;NuGet;Pip;Podman;Pulumi;Visual Studio Solution,CLion;DataGrip;IntelliJ IDEA;Jupyter Notebook/JupyterLab;Rider;RStudio;Vim;Visual Studio;Visual Studio Code,GitHub Discussions;Jira;Markdown File;Microsoft Planner;Notion;Obsidian,Microsoft Teams;Slack,Amazon Q;ChatGPT;Codeium;GitHub Copilot;Visual Studio Intellicode,191082
Data engineer,Bash/Shell (all shells);Python,MongoDB;PostgreSQL,Amazon Web Services (AWS);Microsoft Azure,Flask,NA,Apache Spark;NumPy;Pandas;Ruff,Ansible;Docker;Homebrew;Maven (build tool);Pip,IntelliJ IDEA;Jupyter Notebook/JupyterLab;Sublime Text;Visual Studio Code,Jira;Markdown File;Microsoft Planner,Microsoft Teams,NA,41888
Data engineer,C;C++;Python,NA,Cloudflare,NA,Arduino;Rasberry Pi,NumPy;Pandas;Ruff;TensorFlow;Torch/PyTorch,Ansible;Docker;Homebrew;Pip,Neovim;Visual Studio Code,Confluence;Jira;Microsoft Planner;Redmine,Cisco Webex Teams;Microsoft Teams,GitHub Copilot;Visual Studio Intellicode,48333
Data scientist or machine learning specialist,Bash/Shell (all shells);Python;SQL,NA,Amazon Web Services (AWS);Microsoft Azure,NA,Arduino;Rasberry Pi,Hugging Face Transformers;Keras;NumPy;Opencv;Pandas;Scikit-Learn;TensorFlow;Torch/PyTorch,Docker;Pip,Visual Studio Code,Confluence;Jira;Obsidian,Microsoft Teams,ChatGPT;Visual Studio Intellicode,107006
Data scientist or machine learning specialist,Python;R,NA,NA,NA,NA,NumPy;Opencv;Pandas;Scikit-Learn;TensorFlow;Tidyverse,NA,RStudio;Spyder;Visual Studio Code,NA,Microsoft Teams,Bing AI,50539
"Developer, AI",Python,NA,Google Cloud,Flask,NA,CUDA;NumPy;Pandas;Scikit-Learn;Torch/PyTorch,Gradle,Android Studio;PyCharm;Visual Studio Code,NA,Google Meet;Microsoft Teams;Slack,ChatGPT,797
Data scientist or machine learning specialist,Python;SQL,Snowflake,Google Cloud;Microsoft Azure,Flask,NA,Apache Spark;NumPy;Pandas;Scikit-Learn,Docker;Pip,Jupyter Notebook/JupyterLab;Visual Studio Code,Confluence;Jira,Microsoft Teams,Bing AI;ChatGPT;Google Gemini;Visual Studio Intellicode,149745
Data engineer,Bash/Shell (all shells);Python;SQL,MySQL;PostgreSQL;SQLite,Amazon Web Services (AWS),NA,NA,mlflow;NumPy;Pandas;Scikit-Learn,Ansible;Docker;Make;Pip;Terraform,IPython;PyCharm;Visual Studio Code,Markdown File;Notion,Google Meet;Slack,ChatGPT,73036
Data engineer,C#;Python;Rust;SQL,PostgreSQL;Redis,NA,Django;jQuery,NA,.NET (5+) ;RabbitMQ;Torch/PyTorch,APT;NuGet;Pip,Notepad++;PyCharm;Visual Studio;Visual Studio Code,Jira,Microsoft Teams,Meta AI,85925
Data scientist or machine learning specialist,Python;SQL;VBA,BigQuery;Clickhouse;MariaDB;Oracle,Amazon Web Services (AWS),NA,NA,Apache Kafka;Hadoop;NumPy;Pandas;Scikit-Learn;TensorFlow,NA,Jupyter Notebook/JupyterLab;Vim,Confluence;Jira;Notion;Trello,NA,ChatGPT,64802
Data engineer,Bash/Shell (all shells);PHP;Python;SQL,Microsoft SQL Server;MySQL;PostgreSQL,Amazon Web Services (AWS);Microsoft Azure,NA,NA,NumPy;Pandas,NA,IntelliJ IDEA;Jupyter Notebook/JupyterLab;Nano;PyCharm;RStudio;Visual Studio Code,Confluence;Jira;Stack Overflow for Teams,Microsoft Teams;Skype;Slack;Whatsapp;Zoom,NA,48333
Data or business analyst,Apex;Bash/Shell (all shells);HTML/CSS;JavaScript;SQL,Microsoft SQL Server;Oracle,Oracle Cloud Infrastructure (OCI),WordPress,NA,NA,NA,Nano;Notepad++;Vim,Jira,Cisco Webex Teams;Google Meet;Microsoft Teams;Whatsapp;Zoom,ChatGPT,139628
Data or business analyst,Bash/Shell (all shells);HTML/CSS;JavaScript;Python,MySQL;PostgreSQL;SQLite,Heroku;PythonAnywhere,Angular;Django;FastAPI;Flask;WordPress,NA,NumPy;Pandas;Qt,Gradle;npm;Pip,IPython;Jupyter Notebook/JupyterLab;Visual Studio Code,GitHub Discussions;Markdown File;Stack Overflow for Teams;Wikis,Discord;Google Chat;Google Meet;Microsoft Teams;Skype;Telegram;Whatsapp;Zoom,Bing AI;ChatGPT;Claude;GitHub Copilot;Google Gemini;Meta AI;Visual Studio Intellicode,17945
Data engineer,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;Rust;SQL;TypeScript,Microsoft SQL Server;PostgreSQL;Redis;SQLite,Amazon Web Services (AWS);Cloudflare;Fly.io;Vercel,Django;FastAPI;Gatsby;Next.js;React,Arduino;Cargo;GNU GCC;LLVM's Clang;PlatformIO,Apache Spark;NumPy;Pandas;Ruff;Tauri,Docker;Homebrew;Make;Pacman;Pip;pnpm;Terraform;Unreal Engine;Visual Studio Solution;Vite;Webpack;Yarn,DataGrip;IPython;Jupyter Notebook/JupyterLab;Nano;Neovim;PyCharm;Rider;Visual Studio;Visual Studio Code,Confluence;Jira;Notion;Obsidian,Discord;Microsoft Teams;Slack;Telegram;Whatsapp,ChatGPT;GitHub Copilot;Google Gemini;Meta AI,37128
Data scientist or machine learning specialist,Bash/Shell (all shells);Haskell;Python;SQL,Databricks SQL;Dynamodb;PostgreSQL,Amazon Web Services (AWS);Microsoft Azure,FastAPI,NA,Apache Spark;mlflow;NumPy;Scikit-Learn;TensorFlow;Torch/PyTorch,Docker;Terraform,Vim;Visual Studio Code,GitHub Discussions;Jira;Markdown File;Obsidian,Microsoft Teams,Bing AI;ChatGPT,55851
Data engineer,Bash/Shell (all shells);Java;Python;Scala;SQL,Cosmos DB;Databricks SQL;Elasticsearch,Databricks;Microsoft Azure,Spring Boot,NA,Apache Kafka;Apache Spark;Spring Framework,Maven (build tool),IntelliJ IDEA,Azure Devops;Confluence;Jira,Microsoft Teams;Slack,NA,74239
Data scientist or machine learning specialist,Python,Cassandra;Elasticsearch;MariaDB;MySQL;SQLite,Microsoft Azure,Django;FastAPI,NA,Keras;NumPy;Pandas;Scikit-Learn;TensorFlow;Torch/PyTorch,Docker;Kubernetes;Pip;Terraform,Jupyter Notebook/JupyterLab;PyCharm;Vim,Jira;Microsoft Lists;Notion,Google Meet;Microsoft Teams,NA,38994
Data scientist or machine learning specialist,Bash/Shell (all shells);Java;Python;R;Scala;SQL;VBA,Databricks SQL;PostgreSQL;Snowflake,Hetzner;Microsoft Azure,NA,Rasberry Pi,Apache Spark;mlflow;NumPy;Pandas;Tidyverse,Docker;Homebrew;Pacman;Pip,Eclipse;Jupyter Notebook/JupyterLab;Nano;PyCharm;RStudio;Sublime Text;Visual Studio Code;VSCodium,Azure Devops;Confluence;Obsidian,Jitsi;Microsoft Teams;Signal,NA,64444
Data engineer,Java;Python;SQL,PostgreSQL;Snowflake,Amazon Web Services (AWS),Vue.js,NA,NA,Docker;Kubernetes;Terraform,IntelliJ IDEA;PyCharm,Confluence;Jira;Markdown File;Miro,Discord;Google Meet;Microsoft Teams;Telegram;Zoom,NA,61866
Data engineer,C#;PowerShell;SQL,Microsoft SQL Server,Microsoft Azure,NA,NA,.NET (5+) ;.NET Framework (1.0 - 4.8),MSBuild,Notepad++;Visual Studio;Visual Studio Code,Azure Devops;Microsoft Planner;Wikis,Microsoft Teams,NA,57325
Data engineer,Bash/Shell (all shells);Python;SQL,PostgreSQL;Snowflake,Amazon Web Services (AWS);Google Cloud,NA,NA,mlflow;NumPy;Pandas,Docker;Homebrew;Kubernetes;npm;Pacman;Pip;Terraform,Jupyter Notebook/JupyterLab;Nano;Neovim;PyCharm;Vim;VSCodium,NA,Google Meet;Slack;Zoom,ChatGPT;GitHub Copilot,51555
"Developer, AI",Bash/Shell (all shells);Dart;Groovy;Python;SQL;TypeScript,Cloud Firestore;Firebase Realtime Database;MySQL;Snowflake;SQLite,Amazon Web Services (AWS);Firebase,Django;FastAPI;Flask,NA,Flutter;NumPy;Pandas;Ruff;Scikit-Learn;TensorFlow;Torch/PyTorch,Docker;npm;Pip;Podman,Visual Studio Code,Confluence;GitHub Discussions;Jira;Miro;Trello,Cisco Webex Teams;Microsoft Teams,ChatGPT;GitHub Copilot,54442
Data scientist or machine learning specialist,Bash/Shell (all shells);HTML/CSS;JavaScript;PowerShell;Python;R;SQL,MariaDB;MySQL;PostgreSQL;SQLite,Hetzner;Microsoft Azure;Vercel,Express;Flask;Node.js;Nuxt.js;Vue.js,CMake,Hugging Face Transformers;Keras;Pandas;React Native;Scikit-Learn;TensorFlow;Torch/PyTorch,Chocolatey;npm;Pip;Webpack,Nano;RStudio;Visual Studio,Clickup;GitHub Discussions;Jira,Google Meet;Mattermost;Microsoft Teams;Signal;Telegram;Whatsapp,ChatGPT;GitHub Copilot;Google Gemini;Phind,39955
Data scientist or machine learning specialist,Bash/Shell (all shells);Python,MySQL;PostgreSQL,Microsoft Azure,Flask,NA,Keras;NumPy;Opencv;Pandas;Scikit-Learn;TensorFlow,Godot;Make;Pacman;Pip,Jupyter Notebook/JupyterLab;Kate;Visual Studio Code,Markdown File;Trello,Discord;Microsoft Teams,Bing AI;ChatGPT,48333
Data scientist or machine learning specialist,Bash/Shell (all shells);HTML/CSS;JavaScript;PowerShell;Python;R;SQL;VBA,BigQuery;Cassandra;Databricks SQL;Elasticsearch;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;Redis;SQLite,NA,Django;FastAPI;Flask,NA,Hugging Face Transformers;Keras;NumPy;Pandas;Ruff;Scikit-Learn;TensorFlow;Tidyverse;Torch/PyTorch,Docker;Homebrew;Kubernetes;Pip;Visual Studio Solution,IPython;Jupyter Notebook/JupyterLab;RStudio;Visual Studio;Visual Studio Code,Clickup;GitHub Discussions;Notion;Trello,Cisco Webex Teams;Google Meet;Microsoft Teams;Slack;Telegram;Whatsapp;Zoom,Bing AI;ChatGPT;Claude;Google Gemini;Phind;WolframAlpha,33568
Data scientist or machine learning specialist,C++;Go;HTML/CSS;Python;R;Rust;SQL;VBA,DuckDB;Microsoft SQL Server;PostgreSQL;SQLite,Microsoft Azure,FastAPI;Htmx,GNU GCC;LLVM's Clang;Rasberry Pi,NumPy;OpenCL;Opencv;Pandas;Ruff;Scikit-Learn;TensorFlow;Tidyverse;Torch/PyTorch,Docker;Make;Pip;Podman,Neovim;RStudio;Vim;Visual Studio Code,Azure Devops;GitHub Discussions;Markdown File;Microsoft Planner;Miro,Microsoft Teams;Whatsapp,GitHub Copilot,161109
Data engineer,Python,BigQuery;Elasticsearch;MySQL;PostgreSQL,Google Cloud,NA,NA,NA,Docker;Pip,PyCharm,NA,Google Meet;Slack;Telegram,ChatGPT,60000
Data engineer,Bash/Shell (all shells);Python;SQL;VBA,PostgreSQL;Snowflake,Amazon Web Services (AWS),NA,NA,NumPy,Docker;Homebrew;Kubernetes;Make;Pip;Terraform,IPython;Jupyter Notebook/JupyterLab;Nano;Notepad++;Visual Studio Code,Confluence;GitHub Discussions;Jira;Markdown File;Miro;Obsidian,Google Meet;Slack;Whatsapp,ChatGPT;GitHub Copilot;Visual Studio Intellicode,85925
Data scientist or machine learning specialist,Python;R,Oracle,Microsoft Azure,FastAPI,NA,NA,Docker;Homebrew;Kubernetes,Jupyter Notebook/JupyterLab;RStudio;Visual Studio Code,Azure Devops;Confluence,Microsoft Teams;Zoom,ChatGPT,72499
Data scientist or machine learning specialist,Python,Elasticsearch;PostgreSQL,Amazon Web Services (AWS),NA,NA,Hugging Face Transformers;NumPy;Opencv;Pandas;Scikit-Learn;Torch/PyTorch,Docker,PyCharm,Jira;Markdown File;Notion;Trello,Discord;Google Meet;Microsoft Teams;Slack;Telegram;Whatsapp,ChatGPT;Codeium,48333
Data scientist or machine learning specialist,C#;Python;SQL,MySQL,NA,NA,NA,.NET (5+) ;CUDA;Hugging Face Transformers;Keras;NumPy;Pandas;Scikit-Learn;TensorFlow;Torch/PyTorch,Docker;Kubernetes,Jupyter Notebook/JupyterLab;Visual Studio;Visual Studio Code,NA,Google Meet;Microsoft Teams;Zoom,ChatGPT;Google Gemini,5749
Data engineer,Bash/Shell (all shells);C++;Python;R;SQL,Clickhouse;Oracle;PostgreSQL,NA,NA,CMake,NA,APT;Docker;Make;Pacman,DataGrip;Eclipse;Helix;Visual Studio Code,Jira;Obsidian;Trello,Telegram;Whatsapp,ChatGPT;Perplexity AI,13445
Data engineer,Python;TypeScript,Databricks SQL;PostgreSQL;Snowflake,Amazon Web Services (AWS);Databricks,NA,NA,Apache Spark;Hadoop;Hugging Face Transformers;NumPy;Pandas,NA,Jupyter Notebook/JupyterLab;Visual Studio Code,Confluence;Notion,Google Chat;Google Meet;Microsoft Teams;Slack;Whatsapp;Zoom,ChatGPT,12577
Data or business analyst,Python;SQL,Microsoft SQL Server;PostgreSQL;Snowflake,Databricks,NA,NA,NumPy;Pandas;Scikit-Learn;TensorFlow;Torch/PyTorch,NA,Jupyter Notebook/JupyterLab;Visual Studio Code,Asana,Discord;Signal,ChatGPT,85000
Data or business analyst,R,MariaDB,NA,NA,NA,Tidyverse,NA,RStudio,Jira;Trello,Slack,NA,100275
"Developer, AI",Bash/Shell (all shells);C;HTML/CSS;JavaScript;Python;TypeScript,Cloud Firestore,Firebase,FastAPI;Node.js;Vue.js,GNU GCC,Capacitor;Electron;Flutter;Keras;NumPy;Opencv;TensorFlow;Torch/PyTorch,Make;npm;Pip;Vite;Webpack,Jupyter Notebook/JupyterLab;Notepad++;PyCharm;Vim;Visual Studio Code,Jira;Miro,Google Meet;Microsoft Teams;Whatsapp;Zoom,ChatGPT;Codeium;Visual Studio Intellicode,48333
